chunk_id,topic_id,relevance
1,13,0.867
1,3,0.617
2,13,0.989
3,29,0.967
4,29,0.896
4,11,0.445
5,29,0.716
5,15,0.433
6,29,0.93
7,29,0.915
7,15,0.346
8,29,0.928
8,11,0.442
9,29,0.89
10,29,0.864
10,4,0.318
11,29,0.749
11,23,0.597
12,29,0.823
12,7,0.375
13,13,0.979
13,15,0.63
14,13,0.757
14,25,0.466
15,13,0.978
16,13,0.877
17,23,0.835
18,6,0.987
18,16,0.302
19,23,0.921
20,23,0.83
21,26,0.977
22,26,0.973
23,23,0.752
24,26,0.731
25,26,0.882
25,29,0.454
26,6,0.994
27,23,0.929
27,11,0.688
28,26,0.836
28,14,0.541
29,26,0.966
30,26,0.953
31,25,0.794
32,25,0.866
32,7,0.55
33,25,0.787
33,22,0.353
34,13,0.913
35,13,0.753
36,12,0.891
37,25,0.928
38,10,0.875
39,10,0.913
40,1,0.968
41,1,0.963
42,1,0.857
42,5,0.321
43,1,0.717
43,26,0.364
44,10,0.786
44,27,0.325
45,1,0.935
45,18,0.313
46,4,0.944
46,28,0.57
47,4,0.869
47,21,0.525
48,1,0.771
49,4,0.94
49,22,0.319
50,30,0.814
50,26,0.69
51,19,0.794
52,1,0.704
52,20,0.648
53,1,0.958
53,8,0.665
54,1,0.911
55,28,0.927
56,16,0.881
57,6,0.989
58,11,0.995
58,6,0.594
59,6,0.736
59,9,0.523
60,28,0.739
61,28,0.777
61,23,0.675
62,28,0.712
63,16,0.879
64,16,0.888
65,16,0.79
66,1,0.865
66,23,0.427
67,6,0.766
67,3,0.615
68,16,0.748
69,11,0.821
69,29,0.385
70,6,0.8
70,7,0.68
71,28,0.885
71,18,0.629
72,2,0.994
72,22,0.438
73,2,0.772
74,11,0.976
74,2,0.573
75,15,0.796
76,9,0.983
76,18,0.59
77,2,0.707
78,6,0.931
79,11,0.853
79,10,0.659
80,11,0.758
81,11,0.984
81,25,0.515
82,6,0.702
82,22,0.552
83,2,0.764
84,9,0.951
84,27,0.581
85,11,0.993
86,15,0.894
87,23,0.924
87,15,0.587
88,23,0.711
88,6,0.618
89,23,0.867
90,15,0.768
90,13,0.48
91,15,0.821
91,13,0.569
92,23,0.86
93,23,0.886
94,23,0.876
95,15,0.722
96,23,0.732
97,15,0.79
97,25,0.671
98,23,0.814
99,15,0.709
99,8,0.355
100,23,0.817
101,15,0.864
102,1,0.743
103,26,0.974
104,20,0.919
104,1,0.521
105,20,0.867
105,1,0.529
106,20,0.818
107,20,0.726
107,24,0.661
108,1,0.803
108,21,0.641
109,21,0.743
109,20,0.634
110,21,0.758
110,26,0.527
111,26,0.716
112,20,0.997
113,26,0.893
113,22,0.327
114,4,0.729
115,20,0.846
115,5,0.569
116,1,0.77
116,3,0.66
117,24,0.795
117,20,0.564
118,5,0.908
118,19,0.446
119,28,0.795
119,1,0.425
120,28,0.936
121,5,0.892
121,12,0.354
122,1,0.92
123,1,0.839
123,10,0.495
124,5,0.733
125,24,0.725
125,27,0.356
126,20,0.862
126,29,0.551
127,3,0.918
128,20,0.955
129,20,0.944
130,28,0.931
130,2,0.521
131,28,0.863
132,3,0.842
133,3,0.81
133,25,0.536
134,28,0.957
134,17,0.504
135,20,0.819
136,29,0.899
137,26,0.942
138,27,0.75
139,27,0.834
139,19,0.564
140,10,0.99
141,29,0.845
141,8,0.605
142,26,0.77
142,8,0.317
143,25,0.762
144,27,0.808
144,15,0.653
145,29,0.712
146,10,0.731
147,10,0.89
147,24,0.405
148,26,0.863
148,21,0.451
149,27,0.876
150,26,0.723
150,30,0.389
151,27,0.822
152,25,0.804
153,18,0.966
153,29,0.356
154,5,0.75
154,21,0.412
155,18,0.745
155,20,0.587
156,4,0.735
156,26,0.432
157,8,0.734
158,5,0.844
159,8,0.894
160,4,0.713
161,4,0.748
162,5,0.712
163,5,0.717
163,6,0.507
164,29,0.822
165,5,0.891
166,5,0.918
167,9,0.984
167,20,0.697
168,5,0.96
168,27,0.464
169,5,0.743
170,9,0.93
171,9,0.853
171,22,0.437
172,18,0.836
173,5,0.769
173,4,0.307
174,9,0.857
175,5,0.905
176,5,0.882
176,29,0.546
177,10,0.712
178,20,0.851
178,16,0.564
179,10,0.971
180,10,0.7
181,17,0.904
181,14,0.448
182,13,0.713
183,10,0.769
184,20,0.937
184,19,0.622
185,17,0.972
186,13,0.873
186,9,0.491
187,13,0.77
188,20,0.785
189,17,0.823
189,23,0.597
190,20,0.702
191,13,0.856
191,7,0.575
192,17,0.795
192,5,0.47
193,20,0.876
193,18,0.469
194,14,0.81
194,22,0.459
195,15,0.761
196,13,0.867
196,18,0.522
197,14,0.776
197,12,0.61
198,14,0.819
198,28,0.564
199,13,0.924
199,23,0.68
200,15,0.73
201,13,0.936
202,13,0.884
203,1,0.716
203,21,0.302
204,11,0.727
204,30,0.54
205,1,0.726
205,12,0.332
206,4,0.711
206,13,0.546
207,1,0.856
208,4,0.879
