solution_id,chunk_id,rank,similarity_score
1,722,1,0.7456
1,305,2,0.8382
1,322,3,0.8182
1,602,4,0.664
1,742,5,0.9657
2,217,1,0.8712
2,190,2,0.8097
2,81,3,0.9248
3,445,1,0.5577
3,548,2,0.7198
4,176,1,0.7552
4,672,2,0.8475
5,311,1,0.8397
5,634,2,0.8468
5,632,3,0.7198
5,370,4,0.6801
5,708,5,0.6038
6,196,1,0.9009
6,115,2,0.8493
7,28,1,0.8289
7,215,2,0.8294
7,493,3,0.7374
8,89,1,0.7493
8,309,2,0.7538
8,789,3,0.5594
9,157,1,0.7415
9,757,2,0.7586
9,720,3,0.5584
10,600,1,0.9067
10,249,2,0.7184
10,207,3,0.6936
10,302,4,0.5941
10,584,5,0.9145
11,426,1,0.8644
11,508,2,0.9796
11,755,3,0.5659
11,593,4,0.7219
11,611,5,0.7707
12,238,1,0.7315
12,732,2,0.6858
12,63,3,0.5773
12,541,4,0.9339
12,20,5,0.7294
13,120,1,0.7428
13,507,2,0.7376
13,638,3,0.6194
13,662,4,0.8623
13,356,5,0.7518
14,238,1,0.6958
14,520,2,0.8089
14,225,3,0.9123
14,602,4,0.8325
14,702,5,0.6064
15,741,1,0.9082
15,729,2,0.8394
15,400,3,0.8659
15,427,4,0.8923
16,637,1,0.847
16,213,2,0.5871
16,290,3,0.7576
17,205,1,0.7616
17,161,2,0.8912
17,621,3,0.9555
18,311,1,0.9797
18,241,2,0.7043
18,215,3,0.6621
18,571,4,0.8411
18,49,5,0.6251
19,66,1,0.7352
19,346,2,0.8156
20,576,1,0.7591
20,230,2,0.9773
21,788,1,0.665
21,48,2,0.615
21,789,3,0.8468
21,571,4,0.7716
22,724,1,0.9485
22,52,2,0.7383
23,774,1,0.8863
23,114,2,0.9574
23,109,3,0.9042
23,626,4,0.568
23,625,5,0.5953
24,211,1,0.6175
24,371,2,0.6756
25,781,1,0.6163
25,519,2,0.7064
25,511,3,0.9022
25,751,4,0.6029
25,102,5,0.6368
26,788,1,0.6733
26,7,2,0.6236
26,252,3,0.6644
26,486,4,0.8575
26,350,5,0.7285
27,156,1,0.7313
27,772,2,0.6481
27,543,3,0.8948
28,420,1,0.9558
28,470,2,0.7403
28,529,3,0.8812
28,699,4,0.8586
28,371,5,0.7725
29,87,1,0.6854
29,347,2,0.9722
30,445,1,0.8765
30,63,2,0.8339
30,403,3,0.8258
31,647,1,0.8936
31,731,2,0.9266
32,430,1,0.7881
32,412,2,0.6809
32,698,3,0.8694
32,718,4,0.941
33,287,1,0.8125
33,541,2,0.6132
34,457,1,0.889
34,660,2,0.8304
34,211,3,0.8499
34,558,4,0.9317
34,640,5,0.8861
35,795,1,0.7811
35,203,2,0.7177
35,309,3,0.8591
35,87,4,0.9283
35,38,5,0.7738
36,219,1,0.6843
36,96,2,0.6965
36,524,3,0.8233
36,566,4,0.5601
37,248,1,0.7318
37,793,2,0.7673
37,312,3,0.8648
37,744,4,0.9119
38,643,1,0.5705
38,520,2,0.8299
38,363,3,0.6036
38,127,4,0.6781
39,465,1,0.9727
39,348,2,0.8963
40,359,1,0.8368
40,307,2,0.9005
40,292,3,0.7963
41,732,1,0.8671
41,387,2,0.5952
41,533,3,0.7721
42,798,1,0.5921
42,370,2,0.856
42,466,3,0.9062
43,95,1,0.7327
43,64,2,0.6059
44,457,1,0.841
44,80,2,0.7232
44,379,3,0.7904
45,271,1,0.9785
45,599,2,0.8463
45,511,3,0.9576
45,652,4,0.8646
45,434,5,0.7293
46,148,1,0.7584
46,518,2,0.7468
46,131,3,0.9663
47,712,1,0.7458
47,218,2,0.564
48,573,1,0.8087
48,379,2,0.7257
48,122,3,0.602
49,42,1,0.7097
49,536,2,0.9761
49,157,3,0.6804
49,121,4,0.7589
50,146,1,0.5709
50,604,2,0.9345
50,432,3,0.9323
51,188,1,0.5509
51,758,2,0.7854
51,501,3,0.5791
52,428,1,0.7964
52,493,2,0.7933
53,387,1,0.6071
53,487,2,0.6096
53,738,3,0.8237
53,621,4,0.8775
54,153,1,0.8357
54,746,2,0.7261
54,334,3,0.6501
54,92,4,0.72
54,640,5,0.7826
55,754,1,0.8541
55,285,2,0.796
55,662,3,0.8923
55,91,4,0.8542
55,170,5,0.7912
56,660,1,0.5866
56,573,2,0.9607
57,584,1,0.6314
57,535,2,0.7546
58,124,1,0.9526
58,675,2,0.6273
59,282,1,0.6555
59,211,2,0.8534
60,87,1,0.8032
60,547,2,0.7613
60,622,3,0.9516
60,329,4,0.6962
60,412,5,0.6276
61,541,1,0.7143
61,325,2,0.5891
62,555,1,0.6727
62,173,2,0.6285
63,158,1,0.9594
63,315,2,0.8418
64,630,1,0.628
64,334,2,0.8567
65,400,1,0.7275
65,102,2,0.6894
65,328,3,0.7115
65,146,4,0.9059
66,54,1,0.653
66,208,2,0.8067
67,505,1,0.7669
67,521,2,0.9582
67,771,3,0.6658
68,476,1,0.7582
68,567,2,0.7252
68,417,3,0.6505
68,68,4,0.931
69,568,1,0.6559
69,601,2,0.7885
69,692,3,0.8876
69,104,4,0.681
70,457,1,0.8866
70,86,2,0.6112
70,652,3,0.7824
70,513,4,0.6223
70,209,5,0.6554
71,569,1,0.9633
71,463,2,0.8169
71,43,3,0.8308
71,2,4,0.622
71,476,5,0.5759
72,280,1,0.9797
72,613,2,0.9122
72,257,3,0.6415
72,697,4,0.9115
72,390,5,0.671
73,757,1,0.5801
73,547,2,0.5886
73,577,3,0.8503
74,743,1,0.9277
74,570,2,0.6407
74,287,3,0.7671
75,699,1,0.9712
75,351,2,0.8543
75,651,3,0.6674
75,268,4,0.8348
76,350,1,0.6912
76,216,2,0.943
76,471,3,0.6075
76,614,4,0.9466
77,5,1,0.789
77,10,2,0.8495
77,689,3,0.7603
77,178,4,0.7189
77,424,5,0.5849
78,552,1,0.9338
78,32,2,0.9009
79,689,1,0.7039
79,127,2,0.6262
79,362,3,0.8802
79,386,4,0.8497
79,616,5,0.5536
80,380,1,0.8696
80,198,2,0.8761
80,456,3,0.8426
80,10,4,0.855
80,227,5,0.6324
81,736,1,0.9659
81,227,2,0.5658
81,240,3,0.7619
81,506,4,0.8527
82,8,1,0.7203
82,201,2,0.9241
82,654,3,0.7947
83,175,1,0.7933
83,566,2,0.8434
83,199,3,0.793
83,676,4,0.5781
83,757,5,0.6051
84,131,1,0.9514
84,266,2,0.9179
85,197,1,0.8414
85,695,2,0.8142
85,24,3,0.8427
85,710,4,0.9297
86,438,1,0.8394
86,657,2,0.8295
87,443,1,0.8425
87,417,2,0.7506
87,281,3,0.7054
87,125,4,0.8764
88,49,1,0.7789
88,285,2,0.686
88,431,3,0.7185
89,84,1,0.647
89,586,2,0.8465
89,26,3,0.9618
89,756,4,0.9443
90,169,1,0.577
90,338,2,0.8189
90,319,3,0.562
91,25,1,0.6563
91,607,2,0.7536
91,642,3,0.9623
91,343,4,0.908
91,257,5,0.9033
92,75,1,0.8164
92,795,2,0.8786
92,615,3,0.8189
93,88,1,0.9442
93,63,2,0.7123
94,131,1,0.9452
94,64,2,0.74
95,626,1,0.5938
95,642,2,0.574
95,443,3,0.5724
95,68,4,0.9155
96,99,1,0.9218
96,633,2,0.8886
96,771,3,0.8183
96,421,4,0.745
96,239,5,0.7496
97,636,1,0.9532
97,635,2,0.8867
97,104,3,0.7453
97,348,4,0.6911
97,667,5,0.6328
98,13,1,0.8567
98,610,2,0.8049
99,587,1,0.7688
99,130,2,0.7028
99,653,3,0.757
100,191,1,0.6049
100,249,2,0.8013
100,141,3,0.7706
100,46,4,0.8302
100,62,5,0.7038
