topic_id,name
1,Binary Search Trees
2,Hash Tables
3,Graph Algorithms
4,Dynamic Programming
5,Sorting Algorithms
6,SQL Joins
7,Database Normalization
8,Transaction Isolation
9,Query Optimization
10,Indexing Strategies
11,Process Scheduling
12,Memory Management
13,Virtual Memory
14,TCP/IP Protocol
15,Network Security
16,Neural Networks
17,Gradient Descent
18,Linear Regression
19,Eigenvalues
20,Matrix Decomposition
21,Vector Spaces
22,Bayesian Inference
23,Hypothesis Testing
24,Confidence Intervals
25,Newton's Laws
26,Conservation of Energy
27,Rotational Dynamics
28,Maxwell's Equations
29,Electromagnetic Waves
30,Gauss's Law
